"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"12540","Bakersfield, CA","365","65","170","103","27",".",".","190","142","84",".",".","245","107","13"
"13860","Bishop, CA","365","198","130","26","8","2","1","624","101","48",".",".","308","23","34"
"17020","Chico, CA","365","152","173","22","11","3","4","445","104","54",".",".","199","165","1"
"17340","Clearlake, CA","357","347","7","1","1","1",".","208","43","33",".",".","344","11","2"
"18860","Crescent City, CA","180","162","18",".",".",".",".","77","51","25",".",".",".","180","."
"20940","El Centro, CA","365","95","220","41","7","2",".","286","108","62",".","6","129","106","124"
"21700","Eureka-Arcata-Fortuna, CA","365","324","35","5","1",".",".","163","53","34",".","2","247","96","20"
"23420","Fresno, CA","365","84","183","79","19",".",".","185","133","74",".","2","231","123","9"
"25260","Hanford-Corcoran, CA","365","89","218","49","9",".",".","180","114","69",".",".","183","126","56"
"31080","Los Angeles-Long Beach-Anaheim, CA","365","35","220","90","19","1",".","201","133","78",".","28","175","159","3"
"31460","Madera, CA","365","152","178","30","5",".",".","165","100","56",".",".","209","122","34"
"32900","Merced, CA","365","173","151","32","9",".",".","171","101","51",".","1","188","175","1"
"33700","Modesto, CA","365","157","161","32","14","1",".","240","108","54",".","2","196","158","9"
"34900","Napa, CA","364","273","79","4","8",".",".","183","61","39","1","1","155","206","1"
"37100","Oxnard-Thousand Oaks-Ventura, CA","365","174","174","16","1",".",".","166","87","52",".","2","201","150","12"
"39780","Red Bluff, CA","365","226","110","16","13",".",".","190","95","45",".",".","237","128","."
"39820","Redding, CA","365","277","67","15","6",".",".","190","82","43",".",".","343","21","1"
"40140","Riverside-San Bernardino-Ontario, CA","365","25","167","107","53","13",".","296","166","97",".","10","206","118","31"
"40900","Sacramento--Roseville--Arden-Arcade, CA","365","130","178","36","15","5","1","314","122","60",".",".","225","136","4"
"41500","Salinas, CA","365","319","39","5","2",".",".","155","52","38",".",".","204","97","64"
"41740","San Diego-Carlsbad, CA","365","73","257","35",".",".",".","143","100","64",".","1","197","167","."
"41860","San Francisco-Oakland-Hayward, CA","365","147","199","7","9","3",".","245","80","53",".","11","62","292","."
"41940","San Jose-Sunnyvale-Santa Clara, CA","365","216","131","7","11",".",".","194","74","47",".",".","190","175","."
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","365","202","154","9",".",".",".","133","74","49",".",".","227","101","37"
"42100","Santa Cruz-Watsonville, CA","365","331","24","5","5",".",".","170","50","36",".",".","209","156","."
"42200","Santa Maria-Santa Barbara, CA","365","244","119","2",".",".",".","114","64","47",".",".","259","93","13"
"42220","Santa Rosa, CA","365","325","27","3","8","2",".","226","52","36",".","2","277","84","2"
"43760","Sonora, CA","348","254","73","20","1",".",".","154","80","43",".",".","348",".","."
"44700","Stockton-Lodi, CA","365","152","180","20","10","2","1","308","99","54",".","1","143","216","5"
"46020","Truckee-Grass Valley, CA","363","245","90","19","9",".",".","196","87","44",".",".","325","38","."
"46380","Ukiah, CA","364","289","54","13","6","1","1","314","64","37",".",".","141","219","4"
"46700","Vallejo-Fairfield, CA","365","263","87","3","11","1",".","247","64","42",".","2","179","184","."
"47300","Visalia-Porterville, CA","365","73","171","95","26",".",".","174","140","77",".",".","231","126","8"
"49700","Yuba City, CA","365","153","177","22","7","5","1","335","100","54",".",".","162","201","2"
