"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"12540","Bakersfield, CA","365","119","151","87","6","1","1","548","122","67",".","2","254","78","31"
"13860","Bishop, CA","365","232","121","6","2","1","3","638","84","47",".",".","318","14","33"
"17020","Chico, CA","365","224","136","3","2",".",".","173","67","46",".",".","226","138","1"
"17340","Clearlake, CA","360","360",".",".",".",".",".","50","41","31",".",".","356","3","1"
"18860","Crescent City, CA","248","236","12",".",".",".",".","71","43","20",".",".",".","248","."
"20940","El Centro, CA","365","125","219","19","2",".",".","185","93","58",".","1","203","84","77"
"21700","Eureka-Arcata-Fortuna, CA","363","353","10",".",".",".",".","65","40","27","2",".","261","57","43"
"23420","Fresno, CA","365","139","160","64","2",".",".","187","115","60",".","2","257","82","24"
"25260","Hanford-Corcoran, CA","365","152","172","37","2",".","2","507","105","56",".",".","186","105","74"
"31080","Los Angeles-Long Beach-Anaheim, CA","365","66","208","62","28","1",".","201","140","72",".","30","203","123","9"
"31460","Madera, CA","365","189","163","13",".",".",".","140","84","50",".",".","254","71","40"
"32900","Merced, CA","365","213","145","7",".",".",".","119","79","48",".",".","244","118","3"
"33700","Modesto, CA","365","201","141","22","1",".",".","177","91","49",".",".","239","112","14"
"34900","Napa, CA","363","330","31","2",".",".",".","119","49","35","2",".","259","102","."
"37100","Oxnard-Thousand Oaks-Ventura, CA","365","214","142","9",".",".",".","126","77","46",".","3","278","73","11"
"39780","Red Bluff, CA","365","282","83",".",".",".",".","93","64","41",".",".","319","45","1"
"39820","Redding, CA","364","311","53",".",".",".",".","100","54","42",".",".","351","11","2"
"40140","Riverside-San Bernardino-Ontario, CA","365","42","178","79","58","8",".","213","169","89",".","8","226","95","36"
"40900","Sacramento--Roseville--Arden-Arcade, CA","365","181","164","20",".",".",".","140","90","51",".",".","249","110","6"
"41500","Salinas, CA","365","330","34","1",".",".",".","144","50","37","2",".","285","64","14"
"41740","San Diego-Carlsbad, CA","365","87","253","23","2",".",".","169","93","64",".","2","170","190","3"
"41860","San Francisco-Oakland-Hayward, CA","365","254","102","9",".",".",".","150","66","43",".","18","181","166","."
"41940","San Jose-Sunnyvale-Santa Clara, CA","365","263","98","4",".",".",".","136","67","43",".","1","230","130","4"
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","365","230","132","3",".",".",".","108","74","46",".",".","278","56","31"
"42100","Santa Cruz-Watsonville, CA","365","347","18",".",".",".",".","70","46","35",".",".","253","112","."
"42200","Santa Maria-Santa Barbara, CA","365","286","78","1",".",".",".","105","59","43",".",".","290","61","14"
"42220","Santa Rosa, CA","365","348","17",".",".",".",".","87","44","33",".","3","255","97","10"
"43760","Sonora, CA","358","273","83","2",".",".",".","108","67","43",".",".","358",".","."
"44700","Stockton-Lodi, CA","365","231","122","11","1",".",".","190","80","44",".","1","235","111","18"
"46020","Truckee-Grass Valley, CA","361","273","83","5",".",".",".","122","71","44",".",".","321","40","."
"46380","Ukiah, CA","361","334","27",".",".",".",".","77","47","33",".",".","215","132","14"
"46700","Vallejo-Fairfield, CA","365","290","74","1",".",".",".","119","59","40",".","1","214","150","."
"47300","Visalia-Porterville, CA","365","127","157","78","2","1",".","280","122","66",".","1","242","99","23"
"49700","Yuba City, CA","365","239","124","2",".",".",".","110","71","44",".",".","244","114","7"
