"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"12540","Bakersfield, CA","365","76","150","115","24",".",".","197","140","84",".",".","250","102","13"
"13860","Bishop, CA","365","204","136","16","3",".","6","2060","87","48",".",".","286","25","54"
"17020","Chico, CA","365","152","189","23","1",".",".","154","94","57",".",".","215","148","2"
"17340","Clearlake, CA","362","350","10","1","1",".",".","166","44","35",".",".","350","10","2"
"18860","Crescent City, CA","298","270","26",".","1","1",".","226","49","20",".",".",".","298","."
"20940","El Centro, CA","365","112","211","37","2","2","1","331","104","61",".","2","167","109","87"
"21700","Eureka-Arcata-Fortuna, CA","365","317","40","5","3",".",".","173","56","35","1",".","257","95","12"
"23420","Fresno, CA","365","102","143","93","26","1",".","207","140","74",".","2","234","116","13"
"25260","Hanford-Corcoran, CA","365","96","198","50","21",".",".","181","125","70",".",".","199","123","43"
"31080","Los Angeles-Long Beach-Anaheim, CA","365","38","205","76","38","8",".","224","156","79",".","25","176","162","2"
"31460","Madera, CA","365","142","175","42","6",".",".","166","105","58",".","1","238","110","16"
"32900","Merced, CA","364","162","168","31","3",".",".","158","100","54",".",".","209","153","2"
"33700","Modesto, CA","365","156","146","55","8",".",".","185","112","58",".","1","225","131","8"
"34900","Napa, CA","365","230","121","7","5","2",".","249","67","43","1","1","103","260","."
"37100","Oxnard-Thousand Oaks-Ventura, CA","365","164","168","20","8","3","2","537","100","53",".",".","241","116","8"
"39780","Red Bluff, CA","365","262","94","6","3",".",".","167","77","40",".",".","297","68","."
"39820","Redding, CA","365","263","88","12","2",".",".","157","84","44",".",".","353","12","."
"40140","Riverside-San Bernardino-Ontario, CA","365","25","166","94","53","25","2","366","190","98",".","11","222","100","32"
"40900","Sacramento--Roseville--Arden-Arcade, CA","365","137","172","53","3",".",".","164","107","60",".","1","223","137","4"
"41500","Salinas, CA","365","304","60","1",".",".",".","121","54","39",".",".","225","78","62"
"41740","San Diego-Carlsbad, CA","365","83","220","56","6",".",".","174","112","65",".","1","238","126","."
"41860","San Francisco-Oakland-Hayward, CA","365","169","180","8","7","1",".","205","78","52",".","14","101","250","."
"41940","San Jose-Sunnyvale-Santa Clara, CA","365","224","129","9","3",".",".","182","75","45",".","5","220","138","2"
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","365","143","214","8",".",".",".","133","80","54",".",".","206","115","44"
"42100","Santa Cruz-Watsonville, CA","365","312","49","4",".",".",".","130","56","35",".",".","224","141","."
"42200","Santa Maria-Santa Barbara, CA","365","247","101","6","9","2",".","281","74","44",".",".","249","101","15"
"42220","Santa Rosa, CA","365","311","49","2","3",".",".","165","55","38",".",".","242","121","2"
"43760","Sonora, CA","362","231","106","25",".",".",".","143","93","44",".",".","362",".","."
"44700","Stockton-Lodi, CA","365","185","147","33",".",".",".","146","100","50",".","3","194","153","15"
"46020","Truckee-Grass Valley, CA","365","200","84","62","19",".",".","185","133","49",".",".","353","12","."
"46380","Ukiah, CA","365","273","84","7","1",".",".","188","66","39",".",".","177","184","4"
"46700","Vallejo-Fairfield, CA","365","244","111","5","5",".",".","175","71","44",".","1","194","170","."
"47300","Visalia-Porterville, CA","365","93","145","96","31",".",".","168","147","80",".","1","232","123","9"
"49700","Yuba City, CA","365","181","175","9",".",".",".","130","82","51",".",".","166","195","4"
