"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"12540","Bakersfield, CA","366","78","158","98","30","2",".","267","140","81",".",".","203","144","19"
"13860","Bishop, CA","366","172","139","23","19","5","8","684","130","52",".",".","225","119","22"
"17020","Chico, CA","366","183","144","18","18","2","1","379","110","50.5",".",".","195","166","5"
"17340","Clearlake, CA","351","341","6","1","3",".",".","180","43","32",".",".","336","13","2"
"18860","Crescent City, CA","292","248","35","4","4","1",".","220","55","31.5",".",".",".","292","."
"20940","El Centro, CA","366","119","219","26","2",".",".","166","97","58",".","1","174","86","105"
"21700","Eureka-Arcata-Fortuna, CA","366","333","30","3",".",".",".","109","44","28.5",".",".","229","71","66"
"23420","Fresno, CA","366","94","173","59","34","6",".","298","153","74",".","3","168","180","15"
"25260","Hanford-Corcoran, CA","366","98","198","54","15",".","1","543","124","67",".",".","145","167","54"
"31080","Los Angeles-Long Beach-Anaheim, CA","366","60","164","79","47","16",".","235","166","83.5",".","20","206","135","5"
"31460","Madera, CA","366","137","176","34","17","2",".","250","113","60.5",".",".","189","151","26"
"32900","Merced, CA","366","171","163","17","15",".",".","183","95","52.5",".",".","188","176","2"
"33700","Modesto, CA","366","156","173","21","16",".",".","189","102","55",".","1","191","153","21"
"34900","Napa, CA","365","298","52","7","8",".",".","199","62","36","3",".","220","142","."
"37100","Oxnard-Thousand Oaks-Ventura, CA","366","225","115","21","5",".",".","174","90","47",".",".","295","63","8"
"39780","Red Bluff, CA","366","249","84","12","21",".",".","196","93","43",".",".","243","123","."
"39820","Redding, CA","366","295","63","6","2",".",".","166","64","41",".",".","336","30","."
"40140","Riverside-San Bernardino-Ontario, CA","366","37","153","82","72","20","2","576","187","97.5",".","5","215","108","38"
"40900","Sacramento--Roseville--Arden-Arcade, CA","366","132","184","23","24","3",".","222","123","60",".","1","198","158","9"
"41500","Salinas, CA","366","299","52","4","9","2",".","250","63","36",".",".","211","113","42"
"41740","San Diego-Carlsbad, CA","366","60","257","35","14",".",".","192","108","71",".","1","118","244","3"
"41860","San Francisco-Oakland-Hayward, CA","366","225","119","9","12","1",".","218","83","44.5",".","12","150","204","."
"41940","San Jose-Sunnyvale-Santa Clara, CA","366","227","117","11","11",".",".","186","80","45",".","3","189","170","4"
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","366","211","124","21","8","2",".","292","90","48",".",".","242","109","15"
"42100","Santa Cruz-Watsonville, CA","366","304","42","6","10","2","2","426","64","34",".",".","200","166","."
"42200","Santa Maria-Santa Barbara, CA","366","273","80","9","4",".",".","168","66","42",".",".","239","121","6"
"42220","Santa Rosa, CA","366","319","40","1","6",".",".","187","53","33",".","1","207","144","14"
"43760","Sonora, CA","353","277","71","5",".",".",".","143","64","41",".",".","353",".","."
"44700","Stockton-Lodi, CA","366","197","138","16","15",".",".","195","96","48",".",".","173","173","20"
"46020","Truckee-Grass Valley, CA","366","268","66","15","13","4",".","252","90","41",".",".","230","136","."
"46380","Ukiah, CA","366","280","63","10","10","1","2","456","76","34",".",".","170","190","6"
"46700","Vallejo-Fairfield, CA","366","257","93","9","6","1",".","204","76","41",".",".","184","181","1"
"47300","Visalia-Porterville, CA","366","79","152","103","30","2",".","209","145","78.5",".",".","182","171","13"
"49700","Yuba City, CA","366","208","127","15","14","1","1","303","89","48",".",".","178","184","4"
