"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"12540","Bakersfield, CA","365","65","172","97","29","1","1","316","147","84",".",".","183","162","20"
"13860","Bishop, CA","365","131","191","25","13","2","3","552","115","58",".",".","177","154","34"
"17020","Chico, CA","365","198","136","18","11","2",".","233","90","48",".",".","214","148","3"
"17340","Clearlake, CA","356","350","5",".","1",".",".","156","43","33",".",".","341","13","2"
"18860","Crescent City, CA","323","303","20",".",".",".",".","69","45","23",".",".",".","323","."
"20940","El Centro, CA","365","113","223","22","4","1","2","442","97","58",".",".","151","71","143"
"21700","Eureka-Arcata-Fortuna, CA","365","353","12",".",".",".",".","60","40","28","12",".","223","67","63"
"23420","Fresno, CA","365","102","181","63","18","1",".","278","130","67",".","1","184","164","16"
"25260","Hanford-Corcoran, CA","365","113","201","40","10",".","1","666","109","61",".",".","133","144","88"
"31080","Los Angeles-Long Beach-Anaheim, CA","365","39","228","71","26","1",".","281","143","77",".","23","164","170","8"
"31460","Madera, CA","365","157","173","28","7",".",".","194","100","56",".",".","234","104","27"
"32900","Merced, CA","365","184","148","31","2",".",".","162","100","50",".",".","242","118","5"
"33700","Modesto, CA","365","136","182","42","5",".",".","172","105","58",".",".","185","167","13"
"34900","Napa, CA","140","127","13",".",".",".",".","77","49.5","38","1",".","98","41","."
"37100","Oxnard-Thousand Oaks-Ventura, CA","365","208","147","10",".",".",".","122","78","48",".",".","273","81","11"
"39780","Red Bluff, CA","365","235","94","21","15",".",".","182","100","44",".",".","283","82","."
"39820","Redding, CA","365","234","99","15","15","2",".","216","93","45",".",".","296","69","."
"40140","Riverside-San Bernardino-Ontario, CA","365","26","173","83","69","12","2","487","174","97",".","10","196","117","42"
"40900","Sacramento--Roseville--Arden-Arcade, CA","365","138","169","38","12","5","3","448","126","62",".",".","237","126","2"
"41500","Salinas, CA","365","321","44",".",".",".",".","80","52","37",".",".","230","117","18"
"41740","San Diego-Carlsbad, CA","365","98","251","16",".",".",".","133","90","64",".","3","208","151","3"
"41860","San Francisco-Oakland-Hayward, CA","365","212","143","9","1",".",".","151","69","46",".","3","168","194","."
"41940","San Jose-Sunnyvale-Santa Clara, CA","365","221","137","7",".",".",".","147","72","46",".",".","195","167","3"
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","365","209","148","8",".",".",".","133","77","48",".",".","241","98","26"
"42100","Santa Cruz-Watsonville, CA","365","339","26",".",".",".",".","77","47","34",".",".","244","121","."
"42200","Santa Maria-Santa Barbara, CA","365","300","64","1",".",".",".","101","55","41",".",".","269","92","4"
"42220","Santa Rosa, CA","365","321","44",".",".",".",".","88","52","33",".",".","206","147","12"
"43760","Sonora, CA","360","295","63","2",".",".",".","136","61","41",".",".","360",".","."
"44700","Stockton-Lodi, CA","365","178","171","15","1",".",".","153","84","51",".",".","165","169","31"
"46020","Truckee-Grass Valley, CA","365","221","91","34","15","4",".","288","115","45",".",".","239","126","."
"46380","Ukiah, CA","365","273","84","6","2",".",".","176","65","38",".",".","137","226","2"
"46700","Vallejo-Fairfield, CA","365","267","95","3",".",".",".","126","62","40",".",".","237","127","1"
"47300","Visalia-Porterville, CA","365","78","153","93","39","1","1","537","153","80",".",".","202","154","9"
"49700","Yuba City, CA","364","165","177","17","5",".",".","169","90","54",".",".","145","218","1"
